Fecha,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,0,0,0,0,2,0,0,0,0,0
2020-03-15,0,1,0,0,0,0,2,0,0,0,0,0,1,2,22,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,1,0,0,0,0,0,0,3,15,1,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16,9,0,0,0,0,0,0,0,0,0
2020-03-18,0,1,0,0,0,0,0,3,0,0,0,0,0,0,50,1,1,0,0,0,0,0,0,0,0
2020-03-19,0,2,0,1,0,0,0,0,0,0,0,2,0,0,56,1,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,1,0,0,1,0,0,0,0,7,2,2,26,2,0,0,0,15,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,1,0,0,0,0,0
2020-03-22,0,0,0,3,0,0,1,2,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,2,0,0,1,0,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,3,0
2020-03-24,0,1,0,1,0,1,2,4,0,0,0,1,1,4,47,2,0,0,0,0,0,0,0,0,0
2020-03-25,0,1,0,5,0,0,5,0,0,0,1,0,3,0,84,0,0,0,0,1,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,2,0,0,2,0,1,0,1,38,5,0,0,1,0,0,0,0,2,0
2020-03-27,0,0,0,0,0,0,1,1,0,0,1,0,1,2,22,4,0,0,0,0,0,1,0,1,0
2020-03-28,0,0,0,0,1,0,5,6,0,0,0,1,2,7,84,25,0,0,0,1,0,2,1,2,0
2020-03-29,0,5,0,6,0,0,10,8,0,0,1,0,2,1,107,1,0,0,0,0,0,1,0,0,0
2020-03-30,0,0,0,5,0,0,1,1,0,2,0,4,4,8,97,5,0,0,0,0,1,1,0,2,0
2020-03-31,0,2,0,4,0,0,12,8,1,0,3,0,11,4,193,4,0,0,0,5,0,0,1,3,0
2020-04-01,0,0,1,0,0,1,22,4,0,0,0,2,7,1,61,11,1,0,0,4,0,0,0,2,0
2020-04-02,0,2,0,7,0,1,6,7,0,0,0,0,7,5,171,9,0,0,0,1,0,0,0,6,1
2020-04-03,0,1,0,0,0,2,14,4,1,0,4,8,5,31,187,25,0,0,1,2,0,3,0,5,1
2020-04-04,0,9,0,14,2,0,174,11,0,0,5,0,1,49,500,40,0,1,1,5,0,0,6,10,6
2020-04-05,4,7,0,9,2,0,48,2,1,1,4,4,7,8,313,31,0,0,2,1,0,0,0,0,0
2020-04-06,1,13,0,7,0,0,66,1,5,3,7,0,4,28,483,10,0,1,0,8,1,0,0,4,5
2020-04-07,3,26,0,4,0,3,51,0,1,2,9,13,21,157,632,100,0,0,0,11,0,3,1,4,1
2020-04-08,5,10,0,5,3,3,127,3,0,5,9,2,22,75,696,68,2,1,0,21,0,4,0,22,0
2020-04-09,5,13,3,6,2,6,48,2,0,7,5,14,7,19,624,5,1,0,5,40,1,5,0,1,0
2020-04-10,0,16,0,2,2,0,88,3,0,3,15,2,5,59,796,7,0,3,1,36,0,0,0,3,3
2020-04-11,0,26,2,12,0,1,306,43,2,7,19,8,8,66,770,13,14,3,2,49,1,15,0,39,1
2020-04-12,7,7,0,15,0,1,38,0,2,4,3,4,3,56,517,24,13,0,0,32,0,0,0,6,3
2020-04-13,0,20,4,12,5,4,311,1,1,5,27,9,23,58,714,26,4,2,0,31,1,0,0,13,11
2020-04-14,8,28,9,13,5,7,83,3,1,10,6,33,25,59,615,31,4,5,0,55,0,6,3,22,6
2020-04-15,7,43,3,27,4,10,99,1,4,14,13,12,27,176,775,14,6,4,0,77,4,13,2,18,21
2020-04-16,3,38,4,41,1,5,100,8,6,11,23,28,25,85,836,8,6,5,3,52,2,11,7,12,6
2020-04-17,1,26,5,12,4,10,116,7,1,38,22,20,26,77,572,58,5,5,2,49,4,12,9,7,15
2020-04-18,3,57,4,33,0,7,107,11,0,20,19,14,27,47,867,71,4,0,13,42,9,12,5,6,19
2020-04-19,1,9,0,3,3,2,78,0,2,4,4,5,10,26,836,42,0,1,2,11,0,1,3,6,22
2020-04-20,3,35,1,28,3,11,374,15,3,7,28,19,52,142,1122,42,5,9,13,54,10,7,6,17,26
2020-04-21,7,45,7,28,1,9,432,7,1,10,22,28,44,132,1251,19,5,7,11,50,15,5,5,2,23
2020-04-22,3,30,3,43,2,35,123,19,4,5,32,20,46,136,1432,18,13,4,2,72,6,4,6,7,24
2020-04-23,2,48,3,56,2,8,159,14,3,9,34,22,40,177,1278,25,2,6,4,102,8,2,4,12,15
2020-04-24,6,58,2,66,5,22,124,3,3,9,16,11,21,212,1310,79,3,15,3,152,16,13,5,20,51
2020-04-25,10,81,8,24,7,16,171,11,14,48,27,15,53,135,1418,84,7,14,8,156,17,29,6,12,21
2020-04-26,9,13,4,4,13,3,67,1,11,6,10,12,8,70,977,58,1,5,5,80,14,16,3,9,17
2020-04-27,17,47,6,76,17,10,230,14,18,20,51,33,71,295,1970,74,9,3,12,236,28,23,5,16,109
2020-04-28,32,101,6,76,13,14,200,23,13,15,90,43,175,241,1720,173,3,12,5,142,22,43,14,12,184
2020-04-29,28,80,7,111,32,29,189,22,20,13,131,45,142,248,2524,235,8,20,13,153,18,21,9,47,87
2020-04-30,15,108,13,69,13,47,255,17,7,19,41,66,114,212,1742,94,3,10,1,180,18,15,10,30,79
2020-05-01,47,63,0,38,12,19,115,6,49,8,35,26,52,227,1401,144,2,11,5,141,8,18,4,17,76
2020-05-02,50,119,1,31,16,29,215,11,22,3,48,55,111,144,1936,105,3,4,9,196,5,30,5,39,106
2020-05-03,2,27,0,7,2,13,95,2,6,4,28,48,51,131,1229,25,0,0,2,86,1,20,4,11,94
2020-05-04,26,99,6,50,27,14,201,7,2,7,62,44,120,306,2365,133,5,12,20,216,9,7,5,21,91
2020-05-05,12,121,3,57,16,14,270,24,34,4,37,60,151,223,2408,57,4,13,8,216,8,11,9,10,59
2020-05-06,11,74,1,56,20,10,253,50,2,11,60,57,112,165,2263,110,6,5,9,213,4,31,5,14,81
2020-05-07,9,78,0,47,13,8,329,48,5,12,76,63,54,154,2391,76,2,4,7,153,3,62,1,14,12
2020-05-08,19,53,0,39,24,11,224,48,13,5,97,41,73,150,2084,126,5,23,2,145,1,50,5,11,101
2020-05-09,4,69,1,59,9,6,185,11,5,13,37,35,82,67,1440,105,13,2,6,89,5,28,8,22,190
